,x
1,FGFR1
2,CCL22
3,THY1
4,EFCAB5
5,MX2
6,TGM5
7,EMILIN2
8,ASIC3
9,COL13A1
10,NRCAM
11,ZNF280C
12,ANKAR
13,SNORD89
14,IVNS1ABP
15,CWF19L2
16,ANKRD23
17,ZNF93
18,H1FX-AS1
19,KRT15
20,CHAD
21,MACROD2
22,UGT1A4
23,OCLM
24,LCN12
25,KIF14
26,FETUB
27,SMC2
28,COL4A1
29,THUMPD3-AS1
30,LRRC63
31,LOC389765
32,CHST1
33,ZNF586
34,ABCA13
35,FBN1
36,GLT8D2
37,RAD54L
38,NUDCD1
39,MED12L
40,KIAA1328
41,OTUD6B
42,CCDC3
43,ZNF732
44,TMEM200A
45,ZNF782
46,CPXM2
47,TAS2R31
48,SPICE1
49,ADIRF
50,RNF165
51,PRSS54
52,RIMS1
53,ZFHX4
54,HERC2P3
55,PCDHGA12
56,MBD5
57,MIR200C
58,BTBD16
59,NFE2
60,NDC80
61,ENTPD8
62,NOS2
63,PCDHGA9
64,VLDLR-AS1
65,N4BP2
66,SNORA54
67,NBPF12
68,CACNA1B
69,BMS1P4
70,IL2RB
71,FOXD4
72,LOC729603
73,WDR66
74,GOLGB1
75,ZDHHC11
76,RDH16
77,MSLN
78,ZNF765
79,DMC1
80,ANKRD18B
81,DLEC1
82,FANCB
83,ABCD2
84,KIZ
85,ELFN1
86,HERC2P9
87,CES1P1
88,DNAH12
89,CCAT1
90,B3GNT6
91,ZNF77
92,ZNF90
93,BNC2
94,ANKRD1
95,ALPL
96,LYG1
97,SACS
98,ZNF25
99,VWA8
100,HNRNPA1L2
101,PSCA
102,PRDM6
103,BDP1
104,RPGRIP1L
105,ABCC5
106,PCDHGA6
107,SNORD116-4
108,PRPF39
109,AGAP6
110,EME1
111,STARD9
112,CENPI
113,FLJ37201
114,PCDHGB2
115,FAM227A
116,DDIT4L
117,ANKRD20A8P
118,LINC00578
119,KIF3A
120,CCDC30
121,PRSS12
122,DMTF1
123,SULF1
124,GUSBP11
125,MIPOL1
126,SNORA71D
127,ZNF638
128,DCLK2
129,ZNF467
130,TAS2R30
131,PRPF38B
132,PLEKHG7
133,STPG2
134,FSTL4
135,C1RL-AS1
136,DLC1
137,RUFY2
138,RNF207
139,ATP8A2
140,MYRIP
141,QRICH2
142,PGBD4
143,LINC01347
144,CACNA1E
145,CCDC66
146,THOC1
147,PHF3
148,BTBD8
149,SERPINE1
150,SYT13
151,STXBP6
152,CCDC158
153,FAM95C
154,RBP5
155,RPS6KA5
156,BICD1
157,RNF180
158,CLCN6
159,MYEF2
160,PAPPA2
161,GKAP1
162,CROCCP3
163,FAT3
164,PTBP2
165,WHAMMP3
166,TRIP11
167,CLK4
168,BTAF1
169,ZNF491
170,SMG1P7
171,EEA1
172,LOC729732
173,ZNF92
174,TPTE2P6
175,LOC155060
176,STAB1
177,LYZ
178,C6orf163
179,ZNF662
180,CIITA
181,DKK1
182,ESF1
183,EML6
184,PLXDC1
185,LAT
186,ZMYM2
187,ATP13A4
188,SDHAP2
189,ZNF630
190,SDCCAG8
