well_name,sample_name,donor_ID,time,condition,group,new_sample_names,group_time,condition_time,condition_group,condition_group_time
s1-A1,43905 T4 C1,43905,4,COPD,control,C1_T4_43905,control_4,COPD_4,COPD_control,COPD_control_4
s1-A2,43905 T4 C2,43905,4,COPD,control,C2_T4_43905,control_4,COPD_4,COPD_control,COPD_control_4
s1-A3,43905 T4 C3,43905,4,COPD,control,C3_T4_43905,control_4,COPD_4,COPD_control,COPD_control_4
s1-A4,43905 T4 C4,43905,4,COPD,control,C4_T4_43905,control_4,COPD_4,COPD_control,COPD_control_4
s1-A5,43905 T4 V1,43905,4,COPD,virus,V1_T4_43905,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-A6,43905 T4 V2,43905,4,COPD,virus,V2_T4_43905,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-A7,43905 T4 V3,43905,4,COPD,virus,V3_T4_43905,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-A8,43905 T4 V4,43905,4,COPD,virus,V4_T4_43905,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-B1,43905 T18 C1,43905,18,COPD,control,C1_T18_43905,control_18,COPD_18,COPD_control,COPD_control_18
s1-B2,43905 T18 C2,43905,18,COPD,control,C2_T18_43905,control_18,COPD_18,COPD_control,COPD_control_18
s1-B3,43905 T18 C3,43905,18,COPD,control,C3_T18_43905,control_18,COPD_18,COPD_control,COPD_control_18
s1-B4,43905 T18 C4,43905,18,COPD,control,C4_T18_43905,control_18,COPD_18,COPD_control,COPD_control_18
s1-B5,43905 T18 P1,43905,18,COPD,poly_ic,P1_T18_43905,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-B6,43905 T18 P2,43905,18,COPD,poly_ic,P2_T18_43905,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-B7,43905 T18 P3,43905,18,COPD,poly_ic,P3_T18_43905,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-B8,43905 T18 P4,43905,18,COPD,poly_ic,P4_T18_43905,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-B9,43905 T18 V1,43905,18,COPD,virus,V1_T18_43905,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-B10,43905 T18 V2,43905,18,COPD,virus,V2_T18_43905,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-B11,43905 T18 V3,43905,18,COPD,virus,V3_T18_43905,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-B12,43905 T18 V4,43905,18,COPD,virus,V4_T18_43905,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-C1,18TL 343179 T4 C1,18TL 343179,4,COPD,control,C1_T4_18TL_343179,control_4,COPD_4,COPD_control,COPD_control_4
s1-C2,18TL 343179 T4 C2,18TL 343180,4,COPD,control,C2_T4_18TL_343179,control_4,COPD_4,COPD_control,COPD_control_4
s1-C3,18TL 343179 T4 C3,18TL 343181,4,COPD,control,C3_T4_18TL_343179,control_4,COPD_4,COPD_control,COPD_control_4
s1-C4,18TL 343179 T4 C4,18TL 343182,4,COPD,control,C4_T4_18TL_343179,control_4,COPD_4,COPD_control,COPD_control_4
s1-C5,18TL 343179 T4 V1,18TL 343183,4,COPD,virus,V1_T4_18TL_343179,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-C6,18TL 343179 T4 V2,18TL 343184,4,COPD,virus,V2_T4_18TL_343179,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-C7,18TL 343179 T4 V3,18TL 343185,4,COPD,virus,V3_T4_18TL_343179,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-C8,18TL 343179 T4 V4,18TL 343186,4,COPD,virus,V4_T4_18TL_343179,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-D1,18TL 343179 T18 C1,18TL 343187,18,COPD,control,C1_T18_18TL_343179,control_18,COPD_18,COPD_control,COPD_control_18
s1-D2,18TL 343179 T18 C2,18TL 343188,18,COPD,control,C2_T18_18TL_343179,control_18,COPD_18,COPD_control,COPD_control_18
s1-D3,18TL 343179 T18 C3,18TL 343189,18,COPD,control,C3_T18_18TL_343179,control_18,COPD_18,COPD_control,COPD_control_18
s1-D4,18TL 343179 T18 C4,18TL 343190,18,COPD,control,C4_T18_18TL_343179,control_18,COPD_18,COPD_control,COPD_control_18
s1-D5,18TL 343179 T18 P1,18TL 343191,18,COPD,poly_ic,P1_T18_18TL_343179,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-D6,18TL 343179 T18 P2,18TL 343192,18,COPD,poly_ic,P2_T18_18TL_343179,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-D7,18TL 343179 T18 P3,18TL 343193,18,COPD,poly_ic,P3_T18_18TL_343179,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-D8,18TL 343179 T18 P4,18TL 343194,18,COPD,poly_ic,P4_T18_18TL_343179,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-D9,18TL 343179 T18 V1,18TL 343195,18,COPD,virus,V1_T18_18TL_343179,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-D10,18TL 343179 T18 V2,18TL 343196,18,COPD,virus,V2_T18_18TL_343179,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-D11,18TL 343179 T18 V3,18TL 343197,18,COPD,virus,V3_T18_18TL_343179,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-D12,18TL 343179 T18 V4,18TL 343198,18,COPD,virus,V4_T18_18TL_343179,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-E1,440551 T4 C1,440551,4,COPD,control,C1_T4_440551,control_4,COPD_4,COPD_control,COPD_control_4
s1-E2,440551 T4 C2,440551,4,COPD,control,C2_T4_440551,control_4,COPD_4,COPD_control,COPD_control_4
s1-E3,440551 T4 C3,440551,4,COPD,control,C3_T4_440551,control_4,COPD_4,COPD_control,COPD_control_4
s1-E4,440551 T4 C4,440551,4,COPD,control,C4_T4_440551,control_4,COPD_4,COPD_control,COPD_control_4
s1-E5,440551 T4 V1,440551,4,COPD,virus,V1_T4_440551,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-E6,440551 T4 V2,440551,4,COPD,virus,V2_T4_440551,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-E7,440551 T4 V3,440551,4,COPD,virus,V3_T4_440551,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-E8,440551 T4 V4,440551,4,COPD,virus,V4_T4_440551,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-F1,440551 T18 C1,440551,18,COPD,control,C1_T18_440551,control_18,COPD_18,COPD_control,COPD_control_18
s1-F2,440551 T18 C2,440551,18,COPD,control,C2_T18_440551,control_18,COPD_18,COPD_control,COPD_control_18
s1-F3,440551 T18 C3,440551,18,COPD,control,C3_T18_440551,control_18,COPD_18,COPD_control,COPD_control_18
s1-F4,440551 T18 C4,440551,18,COPD,control,C4_T18_440551,control_18,COPD_18,COPD_control,COPD_control_18
s1-F5,440551 T18 P1,440551,18,COPD,poly_ic,P1_T18_440551,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-F6,440551 T18 P2,440551,18,COPD,poly_ic,P2_T18_440551,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-F7,440551 T18 P3,440551,18,COPD,poly_ic,P3_T18_440551,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-F8,440551 T18 P4,440551,18,COPD,poly_ic,P4_T18_440551,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-F9,440551 T18 V1,440551,18,COPD,virus,V1_T18_440551,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-F10,440551 T18 V2,440551,18,COPD,virus,V2_T18_440551,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-F11,440551 T18 V3,440551,18,COPD,virus,V3_T18_440551,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-F12,440551 T18 V4,440551,18,COPD,virus,V4_T18_440551,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-G1,436083 T4 C1,436083,4,COPD,control,C1_T4_436083,control_4,COPD_4,COPD_control,COPD_control_4
s1-G2,436083 T4 C2,436083,4,COPD,control,C2_T4_436083,control_4,COPD_4,COPD_control,COPD_control_4
s1-G3,436083 T4 C3,436083,4,COPD,control,C3_T4_436083,control_4,COPD_4,COPD_control,COPD_control_4
s1-G4,436083 T4 C4,436083,4,COPD,control,C4_T4_436083,control_4,COPD_4,COPD_control,COPD_control_4
s1-G5,436083 T4 V1,436083,4,COPD,virus,V1_T4_436083,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-G6,436083 T4 V2,436083,4,COPD,virus,V2_T4_436083,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-G7,436083 T4 V3,436083,4,COPD,virus,V3_T4_436083,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-G8,436083 T4 V4,436083,4,COPD,virus,V4_T4_436083,virus_4,COPD_4,COPD_virus,COPD_virus_4
s1-H1,436083 T18 C1,436083,18,COPD,control,C1_T18_436083,control_18,COPD_18,COPD_control,COPD_control_18
s1-H2,436083 T18 C2,436083,18,COPD,control,C2_T18_436083,control_18,COPD_18,COPD_control,COPD_control_18
s1-H3,436083 T18 C3,436083,18,COPD,control,C3_T18_436083,control_18,COPD_18,COPD_control,COPD_control_18
s1-H4,436083 T18 C4,436083,18,COPD,control,C4_T18_436083,control_18,COPD_18,COPD_control,COPD_control_18
s1-H5,436083 T18 P1,436083,18,COPD,poly_ic,P1_T18_436083,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-H6,436083 T18 P2,436083,18,COPD,poly_ic,P2_T18_436083,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-H7,436083 T18 P3,436083,18,COPD,poly_ic,P3_T18_436083,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-H8,436083 T18 P4,436083,18,COPD,poly_ic,P4_T18_436083,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s1-H9,436083 T18 V1,436083,18,COPD,virus,V1_T18_436083,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-H10,436083 T18 V2,436083,18,COPD,virus,V2_T18_436083,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-H11,436083 T18 V3,436083,18,COPD,virus,V3_T18_436083,virus_18,COPD_18,COPD_virus,COPD_virus_18
s1-H12,436083 T18 V4,436083,18,COPD,virus,V4_T18_436083,virus_18,COPD_18,COPD_virus,COPD_virus_18
s2-A1,18TL 103224 T4 C1,18TL 103224,4,COPD,control,C1_T4_18TL_103224,control_4,COPD_4,COPD_control,COPD_control_4
s2-A2,18TL 103224 T4 C2,18TL 103225,4,COPD,control,C2_T4_18TL_103224,control_4,COPD_4,COPD_control,COPD_control_4
s2-A3,18TL 103224 T4 C3,18TL 103226,4,COPD,control,C3_T4_18TL_103224,control_4,COPD_4,COPD_control,COPD_control_4
s2-A4,18TL 103224 T4 C4,18TL 103227,4,COPD,control,C4_T4_18TL_103224,control_4,COPD_4,COPD_control,COPD_control_4
s2-A5,18TL 103224 T4 V1,18TL 103228,4,COPD,virus,V1_T4_18TL_103224,virus_4,COPD_4,COPD_virus,COPD_virus_4
s2-A6,18TL 103224 T4 V2,18TL 103229,4,COPD,virus,V2_T4_18TL_103224,virus_4,COPD_4,COPD_virus,COPD_virus_4
s2-A7,18TL 103224 T4 V3,18TL 103230,4,COPD,virus,V3_T4_18TL_103224,virus_4,COPD_4,COPD_virus,COPD_virus_4
s2-A8,18TL 103224 T4 V4,18TL 103231,4,COPD,virus,V4_T4_18TL_103224,virus_4,COPD_4,COPD_virus,COPD_virus_4
s2-B1,18TL 103224 T18 C1,18TL 103232,18,COPD,control,C1_T18_18TL_103224,control_18,COPD_18,COPD_control,COPD_control_18
s2-B2,18TL 103224 T18 C2,18TL 103233,18,COPD,control,C2_T18_18TL_103224,control_18,COPD_18,COPD_control,COPD_control_18
s2-B3,18TL 103224 T18 C3,18TL 103234,18,COPD,control,C3_T18_18TL_103224,control_18,COPD_18,COPD_control,COPD_control_18
s2-B4,18TL 103224 T18 C4,18TL 103235,18,COPD,control,C4_T18_18TL_103224,control_18,COPD_18,COPD_control,COPD_control_18
s2-B5,18TL 103224 T18 P1,18TL 103236,18,COPD,poly_ic,P1_T18_18TL_103224,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s2-B6,18TL 103224 T18 P2,18TL 103237,18,COPD,poly_ic,P2_T18_18TL_103224,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s2-B7,18TL 103224 T18 P3,18TL 103238,18,COPD,poly_ic,P3_T18_18TL_103224,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s2-B8,18TL 103224 T18 P4,18TL 103239,18,COPD,poly_ic,P4_T18_18TL_103224,poly_ic_18,COPD_18,COPD_poly_ic,COPD_poly_ic_18
s2-B9,18TL 103224 T18 V1,18TL 103240,18,COPD,virus,V1_T18_18TL_103224,virus_18,COPD_18,COPD_virus,COPD_virus_18
s2-B10,18TL 103224 T18 V2,18TL 103241,18,COPD,virus,V2_T18_18TL_103224,virus_18,COPD_18,COPD_virus,COPD_virus_18
s2-B11,18TL 103224 T18 V3,18TL 103242,18,COPD,virus,V3_T18_18TL_103224,virus_18,COPD_18,COPD_virus,COPD_virus_18
s2-C1,655308  T4 C1,655308,4,NHB,control,C1_T4_655308_,control_4,NHB_4,NHB_control,NHB_control_4
s2-C2,655308  T4 C2,655308,4,NHB,control,C2_T4_655308_,control_4,NHB_4,NHB_control,NHB_control_4
s2-C3,655308  T4 C3,655308,4,NHB,control,C3_T4_655308_,control_4,NHB_4,NHB_control,NHB_control_4
s2-C4,655308  T4 C4,655308,4,NHB,control,C4_T4_655308_,control_4,NHB_4,NHB_control,NHB_control_4
s2-C5,655308 T4 V1,655308,4,NHB,virus,V1_T4_655308,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-C6,655308 T4 V2,655308,4,NHB,virus,V2_T4_655308,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-C7,655308 T4 V3,655308,4,NHB,virus,V3_T4_655308,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-C8,655308 T4 V4,655308,4,NHB,virus,V4_T4_655308,virus_4,NHB_4,NHB_virus,NHB_virus_4
s2-D1,655308 T18 C1,655308,18,NHB,control,C1_T18_655308,control_18,NHB_18,NHB_control,NHB_control_18
s2-D2,655308 T18 C2,655308,18,NHB,control,C2_T18_655308,control_18,NHB_18,NHB_control,NHB_control_18
s2-D3,655308 T18 C3,655308,18,NHB,control,C3_T18_655308,control_18,NHB_18,NHB_control,NHB_control_18
