"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","CDC23",822.451449005344,-0.194924700928031,0.104243425755057,-1.86989922401484,0.0614978135983706,0.198110813891762
"2","COX6A1",3213.52674582526,0.0855868381214956,0.114794709806003,0.745564305760541,0.455930651795274,0.689422409835884
"3","TSFM",413.857010248118,0.0983021162232264,0.10253884689249,0.958681701641278,0.337719119404129,0.585425656072969
"4","SMPDL3A",220.949382181073,-0.0751025224896927,0.135993654140701,-0.552250198468748,0.58077694606197,0.783332630901675
"5","IFFO1",14.2698044724137,-0.202358708155072,0.463226032314437,-0.436846580370317,0.662222615237971,0.833886483215165
"6","DRAP1",847.108367783764,0.128381287699579,0.14050096563116,0.913739539958768,0.360853722209506,0.605439329170291
"7","RCL1",384.045461921254,-0.104222005529356,0.0902296934599179,-1.15507436114314,0.248059976444223,0.489056664730837
"8","C2orf50",332.511528806222,0.604110058524368,0.106195971621503,5.68863441145865,1.28059294834079e-08,4.86390040825185e-07
"9","LOC728613",91.7135414441514,-0.102432859493657,0.189437815964533,-0.540720230393885,0.588700432240572,0.788804069903085
"10","MAMDC4",89.1555576185919,-0.0709354076301159,0.270431030964114,-0.262304985405055,0.793086318760887,0.905690355790655
"11","PTPN3",3627.62633869428,-0.0891061229973552,0.0614229271421374,-1.45069808853552,0.146863947967115,0.355931701730385
"12","LRFN4",303.808881053707,0.0803718991219182,0.12145011988378,0.661768791984962,0.508119409576814,0.732662014346958
"13","PLEKHJ1",527.858917902811,0.0249118211697234,0.086140568454207,0.289199637485172,0.772428609248889,0.894490107089049
"14","GPD2",2911.05337941279,-0.100832008521442,0.0707917751361035,-1.42434637819978,0.15434622826536,0.36682121290866
"15","ARMCX5-GPRASP2",14.0713514776651,-0.80548279392068,0.453980779744206,-1.77426629024807,0.0760191137014585,0.229900228709259
"16","SFR1",93.7334293214689,0.170525710046601,0.161248462538703,1.05753386644336,0.290268006888275,0.538107651509125
"17","ST6GALNAC1",5562.06505275159,0.0179407522995052,0.0896903544367885,0.200029896326805,0.841457199711352,0.928316470002513
"18","RPL8",16424.3402154568,-0.0286576851443587,0.0965419168234545,-0.296841890934948,0.76658722175894,0.891671383817509
"19","SYDE1",20.1007339097908,-0.0743249994955599,0.403590769091154,-0.184159314800317,0.853888475624143,0.934651436087983
"20","RGS19",209.417060478567,-0.0719821018522809,0.142322061007804,-0.505769108053697,0.613018747309286,0.804041900871266
"21","NT5C3B",489.307738581465,-0.0185358982088574,0.0896897590401457,-0.206666830273907,0.836270063727312,0.925423269378469
"22","PDCD2L",131.217157190628,-0.00788821749667321,0.138061564926391,-0.057135506908667,0.954437252186181,0.980751551657084
"23","TMED10",5704.85743703183,-0.0407363072747125,0.077606294490196,-0.524909835501278,0.599645871762415,0.795733646059047
"24","CDRT1",147.156906954519,0.460884824295142,0.159474544748244,2.89002125713995,0.00385215777136083,0.0248976409333155
"25","ANO9",586.568038944593,-0.124001531357947,0.128249443000194,-0.966877738079224,0.33360515670419,0.58114889602346
"26","INA",20.8174502782439,-0.769705126281405,0.357294448005414,-2.15425996843293,0.0312197903512088,0.12280010496666
"27","WNT7A",76.5590758482029,-0.412494383741172,0.24198449048014,-1.70463149486444,0.0882631736108267,0.254332215317059
"28","TMEM200C",69.0246281397486,0.890581901424869,0.221528544905471,4.02016770256352,5.81567274310849e-05,0.00078652897444414
"29","TP53",1685.72293402085,-0.155034868144777,0.0646682445820436,-2.39738791653895,0.016512431961278,0.0770065752212872
"30","SVOPL",140.241263534539,-0.195861560500257,0.147079826065587,-1.33166842618454,0.182969168902228,0.407596496795589
"31","PARP10",2805.15226511414,0.180666557534952,0.134761270073409,1.34064154661452,0.180036861279171,0.403736776626511
"32","FGFR1OP2",430.617798673972,-0.0263354097375386,0.109751576339434,-0.239954728814918,0.810365352522105,0.912862805898616
"33","ADARB1",152.474276342144,-0.0371704683223245,0.138932892137963,-0.267542608163756,0.789051412786728,0.903680342846605
"34","CSNK2A1",2326.03285811802,0.0387041897293653,0.0623907279437836,0.620351629239512,0.535026310764158,0.751394190903351
"35","GSN",32966.064946173,0.0725443485126795,0.0759376319948816,0.955314863091453,0.339418493390038,0.586854836516699
"36","MRPL39",448.280774515295,0.0644149057468865,0.162860183121221,0.395522739274712,0.692457143298832,0.850496292707299
"37","TGDS",182.42837507005,-0.0915352740882806,0.197586548546556,-0.463266729246566,0.643173190720485,0.821476270715541
"38","ZNF689",280.181930914529,-0.498969906162828,0.105218208887783,-4.74223911846846,2.1136892807663e-06,4.62042259546362e-05
"39","CREG1",1031.00427112759,-0.12208162901798,0.0935228441892503,-1.30536694084003,0.191767929810491,0.42052943056336
"40","ANKRD35",551.438988864141,0.061176230209934,0.114965472953265,0.532126982461968,0.5946380504838,0.792486576965586
"41","MSH6",1555.16025701965,-0.209167962181487,0.0862218746551864,-2.42592686621556,0.0152693469552832,0.0726134471869549
"42","MIR663A",28420.0755285542,0.359920204184993,0.145112868225822,2.48027765273643,0.0131280112274612,0.0644640144121447
"43","PDE6D",461.868802025699,-0.0325793589858965,0.106993442333106,-0.304498652211471,0.760748019407674,0.888020052339151
"44","DBT",1159.17672258928,-0.272961423183851,0.10571665395299,-2.58200967375709,0.00982268315283147,0.0519912391750637
"45","TPM4",7676.87642379317,0.701903701614367,0.0610252707375439,11.5018531361065,1.29113190421993e-30,3.97531272041844e-28
"46","NAA38",1060.83569116436,0.243236328186497,0.118002491331025,2.06128129535979,0.0392762116183071,0.145436555355303
"47","SH3GLB2",2075.9467665448,0.424404105401604,0.0840499740563165,5.04942577516131,4.43140072814186e-07,1.14512142744537e-05
