"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_annotation"
"1","PARP10",2805.15226511414,2.13093203503057,0.133437022051733,15.9695712798837,2.08212074806675e-57,4.74757663686237e-55,"poly(ADP-ribose) polymerase family member 10"
"2","ARID5A",236.171706348781,1.14616390870418,0.150392718978992,7.62113961690048,2.51445791828806e-14,1.54068701257571e-12,"AT-rich interaction domain 5A"
"3","LAMP3",1816.38209130417,3.93752862833391,0.212145310578378,18.5605263561985,6.70445590975261e-77,2.59034103468747e-74,"lysosomal associated membrane protein 3"
"4","LOC728743",208.464931869388,1.14162242372992,0.172600856147278,6.614233841087,3.73480966596036e-11,1.74907298464117e-09,"zinc finger protein pseudogene"
"5","HSPA6",223.674940125948,1.65304015478189,0.203886594416621,8.10764513239196,5.1610205556108e-16,3.60726808582867e-14,"heat shock protein family A (Hsp70) member 6"
"6","TRIM69",15.3356442838489,4.89916948931289,0.841674724465922,5.82073970728018,5.85877508029765e-09,2.16153057272838e-07,"tripartite motif containing 69"
"7","TYMP",3601.25352237083,2.28051210475393,0.145620531615577,15.660649493948,2.81012702854153e-55,6.01323951384371e-53,"thymidine phosphorylase"
"8","TGM2",7808.99506910697,1.66716136074225,0.186591636746241,8.93481288772628,4.07867854030672e-19,3.21133229357409e-17,"transglutaminase 2"
"9","EXOC3L4",22.0603664126752,2.17380316669196,0.423246678334497,5.13601943728422,2.80618647897792e-07,8.01462992527801e-06,"exocyst complex component 3 like 4"
"10","ASB2",29.6932039692082,1.20329393897732,0.33607304674811,3.58045356692707,0.000342998294330055,0.00392655413649114,"ankyrin repeat and SOCS box containing 2"
"11","STAT1",16384.8087476147,3.13267459283077,0.136364199256117,22.9728521849567,8.71021658042682e-117,6.73057791206426e-114,"signal transducer and activator of transcription 1"
"12","CASP1",1183.33713235966,1.20012967945377,0.146658270224238,8.18317083393113,2.76470780161282e-16,1.96195514350167e-14,"caspase 1"
"13","CEACAM1",1423.46838373007,1.18116106582891,0.133217644083963,8.86640109837448,7.5547983532874e-19,5.87037375954606e-17,"carcinoembryonic antigen related cell adhesion molecule 1"
"14","HMGN2P46",29.4538019629135,1.00520883090822,0.34289255173084,2.93155633108437,0.00337268193814129,0.0224452789845011,"high mobility group nucleosomal binding domain 2 pseudogene 46"
"15","IL4I1",29.498842717701,3.53838778921167,0.561192898483973,6.30511861210361,2.87973276148703e-10,1.27561155985742e-08,"interleukin 4 induced 1"
"16","SNORA4",23.8902131396916,-1.29552882920597,0.34129981372046,-3.7958673785479,0.00014712813965421,0.00202213961902214,"small nucleolar RNA, H/ACA box 4"
"17","HIRA",1732.43012202456,1.01110885285334,0.100809216076792,10.0299247648462,1.12602370160613e-23,1.0952352213734e-21,"histone cell cycle regulator"
"18","KRT24",23.9745583746356,1.58142941046517,0.369327148079844,4.28192029393756,1.85287356054188e-05,0.000347795119481471,"keratin 24"
"19","OASL",2237.82920909942,6.95218994265492,0.399417152133004,17.4058372444153,7.45086646840091e-68,2.20498088742528e-65,"2'-5'-oligoadenylate synthetase like"
"20","SCAMP1-AS1",259.217078338688,1.23882437698056,0.151112378301113,8.19803374752018,2.44350764016042e-16,1.74291014189699e-14,"SCAMP1 antisense RNA 1"
"21","C15orf48",865.86049786446,1.05051917345063,0.214746336572309,4.8919073089608,9.98634754419833e-07,2.57222422207879e-05,"chromosome 15 open reading frame 48"
"22","SPOCD1",43.1111150410451,1.42796560283886,0.243843432659042,5.85607570918483,4.73932233518806e-09,1.75784624960349e-07,"SPOC domain containing 1"
"23","EPSTI1",1948.59587741561,5.70594400179914,0.173016890513323,32.9791154197155,1.6187302057406e-238,1.1257459215823e-234,"epithelial stromal interaction 1"
"24","THEMIS2",256.616695124789,3.17408855480178,0.272744786105639,11.6375773855211,2.65448696213172e-31,3.15566317575129e-29,"thymocyte selection associated family member 2"
"25","PHLPP2",437.600529501957,1.2418309988863,0.141520793425703,8.7749013330557,1.71053774668119e-18,1.30724557794443e-16,"PH domain and leucine rich repeat protein phosphatase 2"
"26","IRF1",3797.50646268539,1.18093634042003,0.105918858640476,11.1494435984107,7.20555155081299e-29,8.28281128266594e-27,"interferon regulatory factor 1"
"27","PNPT1",1995.17817787737,1.91241953240578,0.151099569314003,12.6566842055754,1.02748185799991e-36,1.52034523009796e-34,"polyribonucleotide nucleotidyltransferase 1"
