"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_annotation"
"1","SLC25A30-AS1",12.4267406259719,1.84929285911812,0.490802220114967,3.76789831693291,0.000164627730215276,0.00168243494628902,"SLC25A30 antisense RNA 1"
"2","DAAM2",242.512629458538,-1.15720899905131,0.176016255399282,-6.57444391386611,4.88353331947984e-11,2.04247429671077e-09,"dishevelled associated activator of morphogenesis 2"
"3","CASP1",1183.33713235966,1.11518750504109,0.146799987788618,7.59664576162558,3.03904952333193e-14,1.61684138426972e-12,"caspase 1"
"4","CEACAM1",1423.46838373007,1.70176275632152,0.133738466797082,12.7245570932375,4.31916974351227e-37,6.06822382120059e-35,"carcinoembryonic antigen related cell adhesion molecule 1"
"5","FAT3",36.9716857227055,-1.33844561323467,0.313746970982751,-4.26600329890756,1.99005838023284e-05,0.000272709610041188,"FAT atypical cadherin 3"
"6","ARL14",14.1464848044273,1.2562396673904,0.431092253282118,2.91408546042298,0.00356732235091723,0.0215543723340807,"ADP ribosylation factor like GTPase 14"
"7","CNTNAP2",157.314751136362,-1.20302185175319,0.175018568843956,-6.87368123108005,6.25659337836752e-12,2.80307005505747e-10,"contactin associated protein like 2"
"8","EPPIN",38.8167628792578,-1.21793186528191,0.324605305327854,-3.75203930832796,0.000175401953656642,0.00177499417577991,"epididymal peptidase inhibitor"
"9","SELL",12.6836921805333,1.71903174171434,0.55680248391397,3.08732771741719,0.00201964804342629,0.0135307068687138,"selectin L"
"10","BTN3A3",819.984920240027,1.59366353495113,0.123835170887825,12.8692319276139,6.70657343399022e-38,9.9031453227829e-36,"butyrophilin subfamily 3 member A3"
"11","KLK12",27.8875686482389,-1.17285682604023,0.39424706852385,-2.97492846410163,0.00293056879433507,0.0183268198024299,"kallikrein related peptidase 12"
"12","SIDT1",954.258201932528,1.16278764612912,0.10576399094939,10.9941733069201,4.07631648271722e-28,4.64475400168511e-26,"SID1 transmembrane family member 1"
"13","SCAMP1-AS1",259.217078338688,1.35976539826091,0.155104907426757,8.76674646095909,1.83903279069565e-18,1.3109676607959e-16,"SCAMP1 antisense RNA 1"
"14","PARP15",15.3580841767622,1.4674055911348,0.522705459138273,2.80732784684123,0.00499543725982496,0.0281389539069393,"poly(ADP-ribose) polymerase family member 15"
"15","PHLPP2",437.600529501957,1.35416786444912,0.145893440822414,9.28189682014191,1.66487841504372e-20,1.30229489427555e-18,"PH domain and leucine rich repeat protein phosphatase 2"
"16","CSF2",15.2322288612267,-2.58938677604927,0.462064300218537,-5.60395333468654,2.09517138234503e-08,5.78611165532727e-07,"colony stimulating factor 2"
"17","BEAN1",15.3519290410705,1.88387157804441,0.483378691080192,3.8972995972052,9.72712558457952e-05,0.001059151499883,"brain expressed associated with NEDD4 1"
"18","DKKL1",6.66335515999357,-1.66456538512085,0.63766954282263,-2.61038872540891,0.00904393893135286,0.0445910869763568,"dickkopf like acrosomal protein 1"
"19","SLC16A12",16.621490919442,-1.55589334641487,0.468966116158701,-3.31770951632749,0.000907588188810612,0.00703921275505484,"solute carrier family 16 member 12"
"20","TFCP2L1",3085.47293048812,-1.07526837973461,0.123051913088995,-8.73833126801486,2.36578919959164e-18,1.67820272094562e-16,"transcription factor CP2 like 1"
"21","PNPT1",1995.17817787737,1.55425391180149,0.151024515348027,10.2914014206223,7.70467318848064e-25,7.48284065171164e-23,"polyribonucleotide nucleotidyltransferase 1"
"22","TRIM22",7916.4717828113,1.74061947064297,0.120487921502383,14.4464229189026,2.64047310209687e-47,5.45861232292054e-45,"tripartite motif containing 22"
"23","HDX",186.319927297276,1.03258526933044,0.165264522220744,6.24807584504561,4.15539896140318e-10,1.49957053292931e-08,"highly divergent homeobox"
"24","TLR3",1083.29936830178,1.38523479735487,0.155181087197998,8.92656974098542,4.39422529524215e-19,3.26096585884355e-17,"toll like receptor 3"
"25","ACY3",26.4363893666069,1.21199694272665,0.312976478724684,3.87248571415107,0.000107730992252205,0.00115995177744171,"aminoacylase 3"
"26","CLEC2B",184.93860565835,1.14685311008726,0.148119971088107,7.74273112303725,9.73036728189799e-15,5.29353928332127e-13,"C-type lectin domain family 2 member B"
"27","TRIM38",2575.96829143647,1.23964496589055,0.110701439955999,11.1980925124667,4.16607082615789e-29,4.90139926222202e-27,"tripartite motif containing 38"
"28","ELOVL7",104.614436898062,1.29407765745722,0.188362188055257,6.87015621775214,6.41316357253323e-12,2.86434845858421e-10,"ELOVL fatty acid elongase 7"
"29","PPM1J",105.856798007002,1.65098233528511,0.214316154795521,7.7034899065836,1.3239956864917e-14,7.14908267881393e-13,"protein phosphatase, Mg2+/Mn2+ dependent 1J"
"30","ACADL",31.8612807541752,-1.08259679009902,0.330816611630761,-3.27249827256968,0.00106601523973001,0.00803872148730223,"acyl-CoA dehydrogenase long chain"
"31","NMI",974.398433560565,1.89602242619821,0.168193413609207,11.2728696416351,1.78650706309937e-29,2.11906095984516e-27,"N-myc and STAT interactor"
"32","BTN3A2",1464.91881397564,1.19923379925926,0.0957400755027152,12.5259332934749,5.38540960912018e-36,7.4221202336741e-34,"butyrophilin subfamily 3 member A2"
"33","TMEM62",832.336510914692,1.04004173360619,0.124749016028848,8.3370736436565,7.61516376980578e-17,4.89773488501598e-15,"transmembrane protein 62"
"34","SPATS2L",7139.52505766546,1.22921958296649,0.0986304399072749,12.4628824947157,1.18990602816224e-35,1.62444623901281e-33,"spermatogenesis associated serine rich 2 like"
"35","MDK",5303.75091742379,1.16918789426837,0.14828610261823,7.88467613366644,3.15352317601165e-15,1.79457238952546e-13,"midkine"
"36","SLC13A5",28.1522611561819,1.76069341388859,0.42312198135104,4.16119580520646,3.16585493640552e-05,0.000404352045761026,"solute carrier family 13 member 5"
"37","CFH",5801.32137567308,1.00392091596912,0.129538604812253,7.74997474632486,9.19108255505708e-15,5.0190247416691e-13,"complement factor H"
"38","CYSLTR1",39.9280128954221,1.28895689059537,0.344305968293472,3.74363795371889,0.000181374946097016,0.00182904309754001,"cysteinyl leukotriene receptor 1"
"39","ZCCHC2",1085.07168792485,1.20201989867091,0.0829339624470774,14.4936991216109,1.32794399756401e-47,2.78502573749982e-45,"zinc finger CCHC-type containing 2"
"40","PHF11",603.363479640645,1.20640322809981,0.133263216248082,9.0527848724135,1.3936768435247e-19,1.05591086924848e-17,"PHD finger protein 11"
"41","ZFHX4",59.4373075084675,1.13458296090923,0.241694057089655,4.69429399535615,2.6752905236595e-06,4.44479094923957e-05,"zinc finger homeobox 4"
"42","FANCA",458.614414738572,1.1850909261875,0.118115529199289,10.0333202096396,1.08795381656395e-23,1.01572772125786e-21,"FA complementation group A"
"43","EGR2",70.7017788811811,1.49841139597658,0.223210527124921,6.71299609062785,1.90668224418724e-11,8.16319489811645e-10,"early growth response 2"
"44","APOL4",247.109088651776,3.18761373582067,0.224880503409638,14.1747002852185,1.31402959809623e-45,2.46952237844812e-43,"apolipoprotein L4"
"45","GATA3",40.1077558108562,1.70818330613317,0.336436057775444,5.0772896265278,3.82857041342153e-07,8.0527968681138e-06,"GATA binding protein 3"
"46","SOCS2",130.490162360843,1.20536400243491,0.194878253176517,6.18521555272315,6.20176681688021e-10,2.17829533026878e-08,"suppressor of cytokine signaling 2"
"47","NKPD1",12.6201806249595,1.7819457726887,0.63270176139233,2.81640716277972,0.00485640763080194,0.0274627099747303,"NTPase KAP family P-loop domain containing 1"
"48","GIMAP2",80.8411496338475,1.67605703181661,0.232722478530864,7.20195591933045,5.93548834589476e-13,2.92151196780419e-11,"GTPase, IMAP family member 2"
"49","TMEM178A",41.2501492668982,-1.06789296298551,0.251698418463164,-4.24274800575195,2.20799320840605e-05,0.000299174810101535,"transmembrane protein 178A"
"50","GTPBP2",1677.36374071182,1.02129682370608,0.0930237310876453,10.9788847616081,4.82847759389064e-28,5.45882025478058e-26,"GTP binding protein 2"
"51","IFI16",5821.78962953247,1.55603979901387,0.103618084659392,15.0170677650413,5.67637385707289e-51,1.36904676809503e-48,"interferon gamma inducible protein 16"
"52","HLA-L",129.165389797575,1.32710625319213,0.216169022436023,6.13920643317386,8.29347356178015e-10,2.86431637022722e-08,"major histocompatibility complex, class I, L (pseudogene)"
"53","STXBP6",90.1444111116416,1.05636655501163,0.178138669289181,5.93002383607557,3.02890707686962e-09,9.46680654630242e-08,"syntaxin binding protein 6"
"54","CALML5",11.0504290260571,-1.55433816274505,0.503380011945241,-3.08780270543228,0.00201642292770395,0.0135278888209568,"calmodulin like 5"
"55","MOBP",10.630727402923,1.27096239395885,0.491693981167312,2.58486465695901,0.00974172292504721,0.0472744709753045,"myelin associated oligodendrocyte basic protein"
"56","BCL2A1",40.4570305321872,1.21062772756393,0.377673726344249,3.2054856960329,0.0013483474823412,0.00974622198649326,"BCL2 related protein A1"
"57","ANKDD1A",76.4262416691023,1.12053019635826,0.202385681305536,5.53660806994851,3.08385584060685e-08,8.24888685201882e-07,"ankyrin repeat and death domain containing 1A"
"58","RGMB-AS1",41.9785691599342,-1.03894459467482,0.251878974788833,-4.12477697094738,3.7109417942791e-05,0.000463339419370258,"RGMB antisense RNA 1"
"59","XRN1",3121.33722556965,1.18211307372858,0.124170400820557,9.52008744368062,1.7303339946063e-21,1.42270813840613e-19,"5'-3' exoribonuclease 1"
"60","SYNPO2",219.188976211166,1.42286903188562,0.173360588406397,8.20756923453724,2.25711313670458e-16,1.40787431901948e-14,"synaptopodin 2"
"61","PDCD1LG2",30.6907051507308,2.36449133910983,0.318088452441216,7.43343972710484,1.05809417022447e-13,5.42967402032563e-12,"programmed cell death 1 ligand 2"
"62","PPP1R1B",23.1922507818418,-1.06224829785114,0.345041524020411,-3.07861003358048,0.00207968713647429,0.013900763303427,"protein phosphatase 1 regulatory inhibitor subunit 1B"
"63","CMTR1",2347.69069024153,1.42441308543975,0.105322129715063,13.5243475354452,1.12335900003431e-41,1.76697044451049e-39,"cap methyltransferase 1"
"64","LOC100506606",23.6158263469852,1.48207536717589,0.371793230154338,3.98628927848055,6.71146786191812e-05,0.000772032205324461,"uncharacterized LOC100506606"
"65","CASC8",32.8579816935947,-1.42984650376126,0.320178215449724,-4.46578322561043,7.97763557590358e-06,0.000120004536817984,"cancer susceptibility 8"
"66","KRT39",29.9267519322505,2.49787362110693,0.385749566071865,6.47537636022013,9.45759037933913e-11,3.78068481711095e-09,"keratin 39"
"67","RORB",13.2513972885376,2.21975437258257,0.46372165120574,4.78682495589952,1.6944049321475e-06,2.97208894219473e-05,"RAR related orphan receptor B"
"68","TRIM21",1318.89956940267,2.03188648479322,0.159362369005537,12.7501021569441,3.11337007212891e-37,4.50535783137774e-35,"tripartite motif containing 21"
"69","NUB1",2962.20526526932,1.41463440492665,0.121039006112689,11.687425817175,1.47798605893549e-31,1.90963716596924e-29,"negative regulator of ubiquitin like proteins 1"
"70","DIP2C",132.243810297155,1.31279242797441,0.174313787557141,7.53120247326432,5.0275158225592e-14,2.64557023520924e-12,"disco interacting protein 2 homolog C"
"71","SLFN12",375.754465125664,1.13596451129118,0.127803408142637,8.88837416623008,6.20095588233487e-19,4.57826696802388e-17,"schlafen family member 12"
"72","CFB",23193.6337944282,1.13486294881077,0.144560764863544,7.85042158487475,4.14641060324076e-15,2.3256863503681e-13,"complement factor B"
"73","ABCD1",360.393637090294,1.01780378057156,0.159495297847705,6.38140305266816,1.75472794574277e-10,6.7713781607583e-09,"ATP binding cassette subfamily D member 1"
"74","WARS",7996.79124867371,2.49918052072698,0.220028788874398,11.3584251111504,6.734777756263e-30,8.05446024056875e-28,"tryptophanyl-tRNA synthetase"
