"","gene_id","gene_symbol","fold_change","fdr_pvalue","gene_annotation"
"1","3310","HSPA6",1.0358236229118,0.0322643875491344,"heat shock protein family A (Hsp70) member 6"
"2","4736","RPL10A",-1.01627681428929,0.00923566845058331,"ribosomal protein L10a"
"3","7453","WARS",1.29009741192888,0.0199125097215498,"tryptophanyl-tRNA synthetase"
"4","7803","PTP4A1",1.24949976237359,0.0047173898303062,"protein tyrosine phosphatase 4A1"
"5","6772","STAT1",1.44713262059455,0.00169987478354806,"signal transducer and activator of transcription 1"
"6","3959","LGALS3BP",1.88331247574581,0.00108012582296506,"galectin 3 binding protein"
"7","710","SERPING1",3.85606104548682,0.000196248331102368,"serpin family G member 1"
"8","1845","DUSP3",1.01596626940654,0.00408596986033181,"dual specificity phosphatase 3"
"9","684","BST2",1.43428878134585,0.000284310062824315,"bone marrow stromal cell antigen 2"
"10","9246","UBE2L6",1.55784074745588,0.000167817324806841,"ubiquitin conjugating enzyme E2 L6"
"11","10797","MTHFD2",1.05241647233329,0.0418533516511093,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"12","26509","MYOF",1.34135404734194,0.020039991178281,"myoferlin"
"13","6993","DYNLT1",1.11058272257519,0.00485287514189001,"dynein light chain Tctex-type 1"
"14","4599","MX1",2.70667850977177,0.000530097061860627,"MX dynamin like GTPase 1"
"15","1514","CTSL",1.4730899577899,8.93536242169726e-05,"cathepsin L"
"16","4061","LY6E",2.70729454007619,7.2148004662619e-05,"lymphocyte antigen 6 family member E"
"17","2633","GBP1",1.96938477701135,0.000888715435778497,"guanylate binding protein 1"
"18","1026","CDKN1A",1.1817925023928,0.00338609209133708,"cyclin dependent kinase inhibitor 1A"
"19","6890","TAP1",1.1449819885726,0.0037268719392871,"transporter 1, ATP binding cassette subfamily B member"
"20","3429","IFI27",4.07350869054346,0.000180403646789127,"interferon alpha inducible protein 27"
"21","5359","PLSCR1",2.3287274917843,0.000180403646789127,"phospholipid scramblase 1"
"22","467","ATF3",2.66834462280965,7.2148004662619e-05,"activating transcription factor 3"
"23","8743","TNFSF10",2.04986257898517,0.00102514557046158,"TNF superfamily member 10"
"24","8349","HIST2H2BE",1.12901429954662,0.0333434126892586,"histone cluster 2 H2B family member e"
"25","10906","TRAFD1",1.10293505326949,0.00233402355230183,"TRAF-type zinc finger domain containing 1"
"26","6672","SP100",1.0369827708526,0.000180403646789127,"SP100 nuclear antigen"
"27","4938","OAS1",2.92559453800121,7.2148004662619e-05,"2'-5'-oligoadenylate synthetase 1"
"28","133","ADM",1.38561946638372,0.00210501942424717,"adrenomedullin"
"29","713","C1QB",2.19130588731834,0.00147604295882321,NA
"30","717","C2",1.46605774123957,0.00559566777357877,"complement C2"
"31","9517","SPTLC2",1.1068902498698,0.00457079593637726,"serine palmitoyltransferase long chain base subunit 2"
"32","9830","TRIM14",1.20706938393734,0.0152583080298685,"tripartite motif containing 14"
"33","3434","IFIT1",3.95910338277778,0.000180403646789127,"interferon induced protein with tetratricopeptide repeats 1"
"34","3965","LGALS9",1.28519687406304,0.00343038603737393,"galectin 9"
"35","4001","LMNB1",1.0908191341775,0.005572328806923,"lamin B1"
"36","4753","NELL2",-1.59127875620357,0.0145487868021728,NA
"37","6303","SAT1",1.23508053109998,0.00206457305618414,"spermidine/spermine N1-acetyltransferase 1"
