"","gene_id","gene_symbol","fold_change","fdr_pvalue"
"1","5982","RFC2",0.0611236645993039,0.613621395824424
"2","3310","HSPA6",1.0358236229118,0.0322643875491344
"3","7849","PAX8",0.197964404267076,0.221632727938333
"4","2978","GUCA1A",0.206221127172008,0.203209824679026
"5","7067","THRA",-0.0798548252143263,0.669559916735482
"6","11099","PTPN21",0.150001152254819,0.284007261724886
"7","6352","CCL5",-0.607535104327393,0.074930008455529
"8","1571","CYP2E1",-0.26640260581651,0.0950159275198552
"9","2049","EPHB3",0.140631074553035,0.572619281066063
"10","2101","ESRRA",0.196411183258471,0.0878024686217191
"11","1548","CYP2A6",0.0338372530161326,0.786163526998173
"12","2621","GAS6",0.716161722410678,0.0534629417016992
"13","4323","MMP14",0.0643300611553288,0.664041219245999
"14","8717","TRADD",0.05500183288681,0.692209560887212
"15","5337","PLD1",0.109637695004279,0.519262211932825
"16","572","BAD",0.160529530324044,0.250511041439286
"17","10594","PRPF8",-0.677420700932286,0.0136039842230346
"18","826","CAPNS1",0.0461163827457298,0.830359183075456
"19","11224","RPL35",-0.736260589907008,0.187268002677952
"20","1982","EIF4G2",-0.221353177137729,0.18890759979849
"21","8664","EIF3D",-0.347059719438072,0.0273379061109543
"22","11315","PARK7",-0.234889908453255,0.244467700165154
"23","6727","SRP14",-0.321346506186448,0.414891998440238
"24","2665","GDI2",-0.0772773861708611,0.786978062262188
"25","6135","RPL11",-0.788670077125486,0.0471270868883879
"26","377","ARF3",0.416921862045283,0.125011115311833
"27","6152","RPL24",-0.586368203331094,0.192785543117678
"28","3183","HNRNPC",-0.351375501131136,0.358425741886118
"29","4735","SEPT2",-0.182653524075388,0.491902830596081
"30","6233","RPS27A",-0.644779272569609,0.169827754761093
"31","2197","FAU",-0.528135818981816,0.11270105903544
"32","23435","TARDBP",-0.486206658078162,0.0238045354454718
"33","1072","CFL1",0.0712700999411435,0.510637805524613
"34","6141","RPL18",-0.512915624216822,0.0131719272771929
"35","8665","EIF3F",-0.664633689962274,0.0137800809189538
"36","6193","RPS5",-0.838759027071772,0.017299784563309
"37","6155","RPL27",-0.565339705751063,0.423555469217502
"38","6164","RPL34",-1.0277486693319,0.219399287585877
"39","4677","NARS",-0.192916635672196,0.207606619287628
"40","56910","STARD7",-0.163122667940213,0.324751643019859
"41","6143","RPL19",-0.514573791040867,0.0137800809189538
"42","5250","SLC25A3",-0.287480004721189,0.0682240353021396
"43","6133","RPL9",-0.803155636272667,0.387612406636956
"44","6128","RPL6",-0.811293577094986,0.0136039842230346
"45","23399","CTDNEP1",-0.204299739786636,0.214359691160627
"46","4736","RPL10A",-1.01627681428929,0.00923566845058331
"47","11335","CBX3",-0.283120495453787,0.249686075003464
"48","5690","PSMB2",0.339108341397445,0.0307347771918208
"49","10657","KHDRBS1",0.134878102532816,0.470797712254345
