,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation,secreted
1,CEACAM1,1423.468384,1.701762756,0.133738467,12.72455709,4.32E-37,6.07E-35,carcinoembryonic antigen related cell adhesion molecule 1,"Intracellular,Membrane"
2,FAT3,36.97168572,-1.338445613,0.313746971,-4.266003299,1.99E-05,0.00027271,FAT atypical cadherin 3,Membrane
3,CNTNAP2,157.3147511,-1.203021852,0.175018569,-6.873681231,6.26E-12,2.80E-10,contactin associated protein like 2,"Intracellular,Membrane"
4,EPPIN,38.81676288,-1.217931865,0.324605305,-3.752039308,0.000175402,0.001774994,epididymal peptidase inhibitor,"Intracellular,Secreted"
5,SELL,12.68369218,1.719031742,0.556802484,3.087327717,0.002019648,0.013530707,selectin L,Membrane
6,BTN3A3,819.9849202,1.593663535,0.123835171,12.86923193,6.71E-38,9.90E-36,butyrophilin subfamily 3 member A3,"Intracellular,Membrane"
7,KLK12,27.88756865,-1.172856826,0.394247069,-2.974928464,0.002930569,0.01832682,kallikrein related peptidase 12,Secreted
8,SIDT1,954.2582019,1.162787646,0.105763991,10.99417331,4.08E-28,4.64E-26,SID1 transmembrane family member 1,Membrane
9,PARP15,15.35808418,1.467405591,0.522705459,2.807327847,0.004995437,0.028138954,poly(ADP-ribose) polymerase family member 15,Intracellular
10,CSF2,15.23222886,-2.589386776,0.4620643,-5.603953335,2.10E-08,5.79E-07,colony stimulating factor 2,Secreted
11,DKKL1,6.66335516,-1.664565385,0.637669543,-2.610388725,0.009043939,0.044591087,dickkopf like acrosomal protein 1,"Intracellular,Secreted"
12,TLR3,1083.299368,1.385234797,0.155181087,8.926569741,4.39E-19,3.26E-17,toll like receptor 3,"Intracellular,Membrane"
13,CLEC2B,184.9386057,1.14685311,0.148119971,7.742731123,9.73E-15,5.29E-13,C-type lectin domain family 2 member B,Intracellular
14,BTN3A2,1464.918814,1.199233799,0.095740076,12.52593329,5.39E-36,7.42E-34,butyrophilin subfamily 3 member A2,"Intracellular,Membrane"
15,MDK,5303.750917,1.169187894,0.148286103,7.884676134,3.15E-15,1.79E-13,midkine,Secreted
16,CFH,5801.321376,1.003920916,0.129538605,7.749974746,9.19E-15,5.02E-13,complement factor H,Secreted
17,APOL4,247.1090887,3.187613736,0.224880503,14.17470029,1.31E-45,2.47E-43,apolipoprotein L4,"Intracellular,Membrane,Secreted"
