,symbol
0,DGCR5
1,AC015987.1
2,LINC01146
3,AR
4,LRRC37A11P
5,RPL36
6,AAVS1
7,LINC00176
8,FOXA1
9,PCAT7
10,CECR7
11,RSL24D1
12,MIR503HG
13,RFPL1S
14,CYP4A22-AS1
15,RP5-1073O3.2
16,TPT1-AS1
17,RP11-548L20.1
18,LINC01060
19,RP1-122P22.2
20,AC093375.1
21,LINC00844
22,CCDC183-AS1
23,RP11-734K21.5
24,AC104135.2
25,CTC-527H23.3
26,H19
27,ANKRD18CP
28,RP11-70F11.8
29,RP11-167H9.6
30,RP6-65G23.3
31,RAP2C-AS1
32,RP11-128M1.1
33,RP11-76N22.2
34,RPL21
35,LINC00639
36,LINC00657
37,CTD-2541M15.1
38,LINC01087
39,MAPKAPK5-AS1
40,RP11-195M16.1
41,AC005329.7
42,CSAG4
43,RP11-760H22.2
44,RP1-179N16.6
45,RP11-333I13.1
46,RP11-435O5.2
47,AC084809.2
48,CTD-2566J3.1
49,AC009478.1
50,CTB-181F24.1
51,RP11-308D16.4
52,RP11-314C16.1
53,AC020571.3
54,RP11-725D20.1
55,RP11-367G18.1
56,LINC01132
57,HOXB13
58,RP11-462P6.1
59,RP5-1142A6.9
60,FTX
61,LINC00471
62,RP11-498P14.5
63,RP11-318M2.2
64,CTD-2587M2.1
65,RP11-304F15.7
66,DLGAP1-AS2
67,RP11-299G20.2
68,RP11-789C1.1
69,RPL14
70,RP11-151A6.4
71,RP11-627G23.1
72,CTD-2016O11.1
73,ENTPD1-AS1
74,AE000661.37
75,RP11-134G8.8
76,SNHG5
77,EZH2
78,RPL37A
79,CTD-3051D23.4
80,LINC00925
81,RP11-732M18.3
82,JRK
83,RP11-802E16.3
84,LINC00984
85,EGOT
86,RPL39
87,RP11-473M20.14
88,tggene
89,RP11-15I11.2
90,RP11-677M14.3
91,RP11-170M17.1
92,RP11-65J3.1
93,RP11-97O12.7
94,SNAI3-AS1
95,AC095067.1
96,LINC01133
97,RP11-540A21.2
98,RP1-261D10.2
99,RP11-268G12.1
100,RP11-90K6.1
101,RP11-373N22.3
102,RP11-394O4.3
103,LINC00205
104,RP11-399D6.2
105,RP11-400K9.4
106,RP11-96D1.7
107,KB-1460A1.1
108,LINC00277
109,RP11-269F19.2
110,RPL13
111,RPL23
112,RPL37
113,LINC00565
114,LINC00174
115,RP11-353N14.2
116,CTD-2228K2.7
117,AC004463.6
118,AC097468.4
119,RP1-90G24.10
120,RP11-46A10.5
121,RP11-401P9.4
122,RP11-244F12.3
123,RP11-680A11.5
124,TLR8-AS1
125,AC011747.7
126,RP11-16P6.1
127,AC008268.1
128,RP11-148K1.12
129,RP11-21A7A.3
130,RP5-1086K13.1
131,TTTY14
132,TSTD3
133,RP11-158M2.4
134,RP11-148B18.3
135,RP11-295G20.2
136,RP11-566E18.3
137,MMP24-AS1
138,AC007405.6
139,RP11-37C7.3
140,RP5-837M10.4
141,LMCD1-AS1
142,NFE4
143,ABCC5-AS1
144,RPL18A
145,HOTAIR
146,RP11-193H5.1
147,AC100830.3
148,RP11-996F15.2
149,RP11-279F6.1
150,TTTY15
151,RP11-983P16.2
152,ISM1-AS1
153,RP3-405J10.3
154,RP11-203B7.2
155,RP11-439E19.10
156,LINC01090
157,H1FX-AS1
158,AC017074.2
159,LINC00839
160,LINC01091
161,TMEM161B-AS1
162,NEAT1
163,SPTY2D1-AS1
164,RP11-317N8.5
165,RP1-278O22.1
166,AC092835.2
167,RP11-711M9.1
168,RP11-356J5.12
169,RP4-816N1.7
170,AC012074.2
171,RP11-531A24.5
172,NDUFB2-AS1
173,RP11-157P1.4
174,AC109333.10
175,GS1-421I3.2
176,RP11-18H7.1
177,CTB-113P19.4
178,SNHG7
179,NOP14-AS1
180,RP11-179B15.5
181,PCA4
182,CTD-2020K17.3
183,AC002456.2
184,OSGEPL1-AS1
185,AC097724.3
186,AC012370.2
187,LINC00624
188,DANCR
189,AC074289.1
190,RP11-353N14.4
191,RP11-142C4.6
192,HOXA-AS2
193,LINC01024
194,CTA-250D10.23
195,RP11-539L10.3
196,CTD-2001C12.1
197,GHRLOS
198,RP4-798A10.2
199,Z83851.3
200,VIM-AS1
201,RP11-47P18.1
202,RP11-382A20.2
203,NBPF18P
204,RP11-53O19.1
205,RP11-473M20.16
206,RP11-540O11.1
207,CTC-498J12.1
208,RP11-360F5.1
209,LINC00261
210,LINC00885
211,LINC00086
212,GS1-124K5.11
213,CTD-2127H9.1
214,RPL3
215,RP11-475N22.4
216,AC108488.4
217,RPS3A
218,TMEM44-AS1
219,RPL34
