,Feature importance,annotation
SHISA5,0.09792843691148775,shisa family member 5
CPED1,0.0790960451977401,cadherin like and PC-esterase domain containing 1
IL1RN,0.07721280602636535,interleukin 1 receptor antagonist
SECTM1,0.07344632768361582,secreted and transmembrane 1
APOL3,0.07344632768361581,apolipoprotein L3
MILR1,0.07156308851224105,mast cell immunoglobulin like receptor 1
TLR3,0.0696798493408663,toll like receptor 3
THSD1,0.0696798493408663,thrombospondin type 1 domain containing 1
NT5C3A,0.06779661016949153,"5'-nucleotidase, cytosolic IIIA"
PTPRR,0.06591337099811675,protein tyrosine phosphatase receptor type R
BTC,0.06591337099811675,betacellulin
CFB,0.06591337099811675,complement factor B
ACE2,0.06591337099811675,angiotensin I converting enzyme 2
TMEM92,0.064030131826742,transmembrane protein 92
IL15RA,0.064030131826742,interleukin 15 receptor subunit alpha
LY6E,0.064030131826742,lymphocyte antigen 6 family member E
CYP26B1,0.06214689265536723,cytochrome P450 family 26 subfamily B member 1
APOL4,0.0583804143126177,apolipoprotein L4
PDCD1LG2,0.05649717514124294,programmed cell death 1 ligand 2
SERPINE1,0.05649717514124294,serpin family E member 1
PIK3AP1,0.05649717514124294,phosphoinositide-3-kinase adaptor protein 1
IFI30,0.054613935969868174,IFI30 lysosomal thiol reductase
TOR1B,0.054613935969868174,torsin family 1 member B
MMP13,0.054613935969868174,matrix metallopeptidase 13
SLC10A5,0.054613935969868174,solute carrier family 10 member 5
LIFR,0.054613935969868174,LIF receptor subunit alpha
CEACAM1,0.054613935969868174,carcinoembryonic antigen related cell adhesion molecule 1
C1R,0.054613935969868174,complement C1r
CYP2J2,0.04896421845574388,cytochrome P450 family 2 subfamily J member 2
CHODL,0.04896421845574388,chondrolectin
CD68,0.047080979284369114,CD68 molecule
C19orf38,0.047080979284369114,chromosome 19 open reading frame 38
SEMA3D,0.0,semaphorin 3D
