,Feature importance
CPED1,1.2041208760219981
SERPINE1,0.8332484016094732
SHISA5,0.5439116962288448
SLC10A5,0.5278706876250264
TMEM92,0.5141463729106379
SEMA3D,0.49342537819549326
CEACAM1,0.4280050061528467
PDCD1LG2,0.37955381228078544
APOL3,0.37514149417872855
LY6E,0.36164837160471536
CHODL,0.3445019263421839
IL15RA,0.3031596919878925
TOR1B,0.2946038808971129
C1R,0.27611245962769065
CFB,0.25391323867931054
IL1RN,0.23527844847576596
APOL4,0.23399832474942536
C19orf38,0.20889273959316887
PIK3AP1,0.20383206078801727
SECTM1,0.1990393870688918
MILR1,0.18587400568414703
CYP26B1,0.1853232723221356
IFI30,0.18426833935969947
CD68,0.16968847014781172
NT5C3A,0.14179063597420635
TLR3,0.12725659963450323
LIFR,0.12678474453779082
CYP2J2,0.12383021257529511
PTPRR,0.1147457971288788
MMP13,0.11246953216295616
ACE2,0.11199355949476794
BTC,0.10620547561554247
THSD1,0.09536510034425627
