"","x"
"1","FAM219A"
"2","GIN1"
"3","RASSF2"
"4","STAU1"
"5","DHX38"
"6","LURAP1L"
"7","SMU1"
"8","POGZ"
"9","TOE1"
"10","CETN2"
"11","LGI4"
"12","FGFR1"
"13","ZC3HAV1L"
"14","INTS4"
"15","GALNT4"
"16","IGSF22"
"17","CMTR2"
"18","PRSS36"
"19","TRIB2"
"20","CCDC97"
"21","TACR2"
"22","PACRG"
"23","CCL22"
"24","POLDIP2"
"25","NOS3"
"26","NAGPA-AS1"
"27","MRPL3"
"28","THY1"
"29","BUD13"
"30","BRI3"
"31","FKBP6"
"32","TP53AIP1"
"33","VPS35"
"34","LRPAP1"
"35","SLC2A4"
"36","CCDC86"
"37","IFI44"
"38","FOXRED1"
"39","KCNS3"
"40","EGLN1"
"41","PDS5A"
"42","ZMAT5"
"43","MRPS21"
"44","ZNF155"
"45","NDUFB2"
"46","SRC"
"47","USP2"
"48","EFCAB5"
"49","CAMTA2"
"50","ZNF35"
"51","PMEPA1"
"52","SH2D2A"
"53","MX2"
"54","SLC51A"
"55","SENP3"
"56","C5AR1"
"57","UNC5B-AS1"
"58","TGM5"
"59","ANKRD33B"
"60","APOBEC3A"
"61","EMILIN2"
"62","SNAPIN"
"63","ZNF250"
"64","CNN1"
"65","MPV17L"
"66","ASIC3"
"67","COL13A1"
"68","JARID2"
"69","NONO"
"70","CYP4X1"
"71","HNRNPA3"
"72","ZNF747"
"73","TNFAIP2"
"74","NRCAM"
"75","ITGAV"
"76","ZNF132"
"77","PDE10A"
"78","DDX58"
"79","IQSEC1"
"80","DCAF16"
"81","FAM149A"
"82","GLTP"
"83","RC3H1"
"84","KPNA6"
"85","HECA"
"86","CABP7"
"87","CIC"
"88","MAB21L3"
"89","ZNF280C"
"90","GFM2"
"91","SRSF12"
"92","NRP2"
"93","ADAL"
"94","EIF3L"
"95","TBC1D12"
"96","ZNF511"
"97","ARL16"
"98","PDGFB"
"99","TPD52L2"
"100","CDC26"
"101","WARS"
"102","ANKAR"
"103","UBQLN1"
"104","MT1F"
"105","SLC2A4RG"
"106","LINC00339"
"107","ARHGAP5"
"108","PIGX"
"109","PDAP1"
"110","ZNF554"
"111","IL17RD"
"112","SNORD89"
"113","ATF7"
"114","FOXQ1"
"115","TADA2B"
"116","TMEM105"
"117","HLTF"
"118","NFKBIZ"
"119","VAT1"
"120","TRIM44"
"121","IVNS1ABP"
"122","CAMKK2"
"123","PRRC1"
"124","UPF1"
"125","RPL3"
"126","CWF19L2"
"127","GCSHP3"
"128","SH3GL1P1"
"129","PSMD13"
"130","HERC4"
"131","LEPROTL1"
"132","CRISPLD2"
"133","ZBTB11"
"134","WDR7"
"135","PLK4"
"136","PLCG1"
"137","TNC"
"138","FAM120A"
"139","CREB3"
"140","INTS12"
"141","FOCAD"
"142","CSE1L"
"143","SLC25A15"
"144","SLC23A3"
"145","SYNJ1"
"146","S100A6"
"147","AMZ2"
"148","TMED8"
"149","PAQR5"
"150","FARSB"
"151","GRINA"
"152","UQCR10"
"153","MB21D2"
"154","ARHGEF11"
"155","PLIN5"
"156","TNFSF13"
"157","TMC6"
"158","HHLA3"
"159","COG8"
"160","MED13"
"161","VWF"
"162","SLC9A5"
"163","ANKRD23"
"164","PBXIP1"
"165","SH3BP5-AS1"
"166","FAM171B"
"167","ZNF93"
"168","MTA1"
"169","H1FX-AS1"
"170","SPIRE2"
"171","DISP1"
"172","DNAJC24"
"173","TRMT12"
"174","CFH"
"175","NSMF"
"176","TRAFD1"
"177","EXOSC5"
"178","GNB1"
"179","RALB"
"180","ZBED5"
"181","FSCN2"
"182","KRT15"
"183","PXN"
"184","RASL11A"
"185","PHF19"
"186","ZFYVE9"
"187","C5orf66-AS1"
