"","SYMBOL","ENTREZID","GENENAME"
"1","FAM219A","203259","family with sequence similarity 219 member A"
"2","GIN1","54826","gypsy retrotransposon integrase 1"
"3","RASSF2","9770","Ras association domain family member 2"
"4","STAU1","6780","staufen double-stranded RNA binding protein 1"
"5","DHX38","9785","DEAH-box helicase 38"
"6","LURAP1L","286343","leucine rich adaptor protein 1 like"
"7","SMU1","55234","SMU1 DNA replication regulator and spliceosomal factor"
"8","POGZ","23126","pogo transposable element derived with ZNF domain"
"9","TOE1","114034","target of EGR1, exonuclease"
"10","CETN2","1069","centrin 2"
"11","LGI4","163175","leucine rich repeat LGI family member 4"
"12","FGFR1","2260","fibroblast growth factor receptor 1"
"13","ZC3HAV1L","92092","zinc finger CCCH-type containing, antiviral 1 like"
"14","INTS4","92105","integrator complex subunit 4"
"15","GALNT4","8693","polypeptide N-acetylgalactosaminyltransferase 4"
"16","IGSF22","283284","immunoglobulin superfamily member 22"
"17","CMTR2","55783","cap methyltransferase 2"
"18","PRSS36","146547","serine protease 36"
"19","TRIB2","28951","tribbles pseudokinase 2"
"20","CCDC97","90324","coiled-coil domain containing 97"
"21","TACR2","6865","tachykinin receptor 2"
"22","PACRG","135138","parkin coregulated"
"23","CCL22","6367","C-C motif chemokine ligand 22"
"24","POLDIP2","26073","DNA polymerase delta interacting protein 2"
"25","NOS3","4846","nitric oxide synthase 3"
"26","NAGPA-AS1","100507589","NAGPA antisense RNA 1"
"27","MRPL3","11222","mitochondrial ribosomal protein L3"
"28","THY1","7070","Thy-1 cell surface antigen"
"29","BUD13","84811","BUD13 homolog"
"30","BRI3","25798","brain protein I3"
"31","FKBP6","8468","FKBP prolyl isomerase 6"
"32","TP53AIP1","63970","tumor protein p53 regulated apoptosis inducing protein 1"
"33","VPS35","55737","VPS35 retromer complex component"
"34","LRPAP1","4043","LDL receptor related protein associated protein 1"
"35","SLC2A4","6517","solute carrier family 2 member 4"
"36","CCDC86","79080","coiled-coil domain containing 86"
"37","IFI44","10561","interferon induced protein 44"
"38","FOXRED1","55572","FAD dependent oxidoreductase domain containing 1"
"39","KCNS3","3790","potassium voltage-gated channel modifier subfamily S member 3"
"40","EGLN1","54583","egl-9 family hypoxia inducible factor 1"
"41","PDS5A","23244","PDS5 cohesin associated factor A"
"42","ZMAT5","55954","zinc finger matrin-type 5"
"43","MRPS21","54460","mitochondrial ribosomal protein S21"
"44","ZNF155","7711","zinc finger protein 155"
"45","NDUFB2","4708","NADH:ubiquinone oxidoreductase subunit B2"
"46","SRC","6714","SRC proto-oncogene, non-receptor tyrosine kinase"
"47","USP2","9099","ubiquitin specific peptidase 2"
"48","EFCAB5","374786","EF-hand calcium binding domain 5"
"49","CAMTA2","23125","calmodulin binding transcription activator 2"
"50","ZNF35","7584","zinc finger protein 35"
"51","PMEPA1","56937","prostate transmembrane protein, androgen induced 1"
"52","SH2D2A","9047","SH2 domain containing 2A"
"53","MX2","4600","MX dynamin like GTPase 2"
"54","SLC51A","200931","solute carrier family 51 alpha subunit"
"55","SENP3","26168","SUMO specific peptidase 3"
"56","C5AR1","728","complement C5a receptor 1"
"57","UNC5B-AS1","728978","UNC5B antisense RNA 1"
"58","TGM5","9333","transglutaminase 5"
"59","ANKRD33B","651746","ankyrin repeat domain 33B"
"60","APOBEC3A","200315","apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"61","EMILIN2","84034","elastin microfibril interfacer 2"
"62","SNAPIN","23557","SNAP associated protein"
"63","ZNF250","58500","zinc finger protein 250"
"64","CNN1","1264","calponin 1"
"65","MPV17L","255027","MPV17 mitochondrial inner membrane protein like"
"66","ASIC3","9311","acid sensing ion channel subunit 3"
"67","COL13A1","1305","collagen type XIII alpha 1 chain"
"68","JARID2","3720","jumonji and AT-rich interaction domain containing 2"
"69","NONO","4841","non-POU domain containing octamer binding"
"70","CYP4X1","260293","cytochrome P450 family 4 subfamily X member 1"
"71","HNRNPA3","220988","heterogeneous nuclear ribonucleoprotein A3"
"72","ZNF747","65988","zinc finger protein 747"
"73","TNFAIP2","7127","TNF alpha induced protein 2"
"74","NRCAM","4897","neuronal cell adhesion molecule"
"75","ITGAV","3685","integrin subunit alpha V"
"76","ZNF132","7691","zinc finger protein 132"
"77","PDE10A","10846","phosphodiesterase 10A"
"78","DDX58","23586","DExD/H-box helicase 58"
"79","IQSEC1","9922","IQ motif and Sec7 domain 1"
"80","DCAF16","54876","DDB1 and CUL4 associated factor 16"
"81","FAM149A","25854","family with sequence similarity 149 member A"
"82","GLTP","51228","glycolipid transfer protein"
"83","RC3H1","149041","ring finger and CCCH-type domains 1"
"84","KPNA6","23633","karyopherin subunit alpha 6"
"85","HECA","51696","hdc homolog, cell cycle regulator"
"86","CABP7","164633","calcium binding protein 7"
"87","CIC","23152","capicua transcriptional repressor"
"88","MAB21L3","126868","mab-21 like 3"
"89","ZNF280C","55609","zinc finger protein 280C"
"90","GFM2","84340","G elongation factor mitochondrial 2"
"91","SRSF12","135295","serine and arginine rich splicing factor 12"
"92","NRP2","8828","neuropilin 2"
"93","ADAL","161823","adenosine deaminase like"
"94","EIF3L","51386","eukaryotic translation initiation factor 3 subunit L"
"95","TBC1D12","23232","TBC1 domain family member 12"
"96","ZNF511","118472","zinc finger protein 511"
"97","ARL16","339231","ADP ribosylation factor like GTPase 16"
"98","PDGFB","5155","platelet derived growth factor subunit B"
"99","TPD52L2","7165","TPD52 like 2"
"100","CDC26","246184","cell division cycle 26"
"101","WARS","7453","tryptophanyl-tRNA synthetase"
"102","ANKAR","150709","ankyrin and armadillo repeat containing"
"103","UBQLN1","29979","ubiquilin 1"
"104","MT1F","4494","metallothionein 1F"
"105","SLC2A4RG","56731","SLC2A4 regulator"
"106","LINC00339","29092","long intergenic non-protein coding RNA 339"
"107","ARHGAP5","394","Rho GTPase activating protein 5"
"108","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X"
"109","PDAP1","11333","PDGFA associated protein 1"
"110","ZNF554","115196","zinc finger protein 554"
"111","IL17RD","54756","interleukin 17 receptor D"
"112","SNORD89","692205","small nucleolar RNA, C/D box 89"
"113","ATF7","11016","activating transcription factor 7"
"114","FOXQ1","94234","forkhead box Q1"
"115","TADA2B","93624","transcriptional adaptor 2B"
"116","TMEM105","284186","TMEM105 long non-coding RNA"
"117","HLTF","6596","helicase like transcription factor"
"118","NFKBIZ","64332","NFKB inhibitor zeta"
"119","VAT1","10493","vesicle amine transport 1"
"120","TRIM44","54765","tripartite motif containing 44"
"121","IVNS1ABP","10625","influenza virus NS1A binding protein"
"122","CAMKK2","10645","calcium/calmodulin dependent protein kinase kinase 2"
"123","PRRC1","133619","proline rich coiled-coil 1"
"124","UPF1","5976","UPF1 RNA helicase and ATPase"
"125","RPL3","6122","ribosomal protein L3"
"126","CWF19L2","143884","CWF19 like cell cycle control factor 2"
